,Rank,Country Name,Average height in Cm,Male Height in Cm,Female Height in Cm,Average height in Ft,Male Height in Ft,Female Height in Ft
0,1,Netherlands,177.07,183.78,170.36,5.81,6.03,5.59
1,2,Montenegro,176.63,183.3,169.96,5.8,6.01,5.58
2,3,Estonia,175.72,182.79,168.66,5.76,6.0,5.53
5,6,Denmark,175.68,181.89,169.47,5.76,5.97,5.56
4,5,Iceland,175.5,182.1,168.91,5.76,5.97,5.54
7,8,Latvia,174.99,181.17,168.81,5.74,5.94,5.54
3,4,Bosnia and Herzegovina,174.97,182.47,167.47,5.74,5.99,5.49
6,7,Czech Republic,174.58,181.19,167.96,5.72,5.94,5.51
12,13,Serbia,174.52,180.74,168.29,5.72,5.93,5.52
13,14,Lithuania,174.18,180.72,167.63,5.72,5.93,5.5
9,10,Slovenia,174.09,180.98,167.2,5.72,5.94,5.49
8,9,Slovakia,174.07,181.02,167.12,5.71,5.94,5.48
10,11,Ukraine,173.8,180.98,166.62,5.7,5.94,5.47
11,12,Croatia,173.78,180.76,166.8,5.7,5.93,5.47
17,18,Sweden,173.56,180.46,166.67,5.7,5.92,5.47
15,16,Finland,173.52,180.57,166.48,5.69,5.92,5.46
19,20,Dominica,173.52,180.15,166.89,5.7,5.91,5.48
16,17,Norway,173.46,180.48,166.45,5.69,5.92,5.46
14,15,Poland,173.24,180.69,165.78,5.68,5.93,5.44
18,19,Germany,173.23,180.28,166.18,5.68,5.91,5.45
20,21,Bermuda,172.92,179.72,166.11,5.68,5.9,5.45
36,37,Cook Islands,172.82,178.32,167.31,5.67,5.85,5.49
32,33,Belarus,172.81,178.69,166.93,5.67,5.86,5.48
34,35,Austria,172.73,178.52,166.93,5.67,5.86,5.48
22,23,Greece,172.54,179.26,165.81,5.66,5.88,5.44
37,38,French Polynesia,172.42,178.32,166.52,5.65,5.85,5.46
31,32,Grenada,172.34,178.7,165.99,5.66,5.86,5.45
43,44,American Samoa,172.32,177.09,167.55,5.65,5.81,5.5
27,28,Antigua and Barbuda,172.28,178.84,165.72,5.66,5.87,5.44
26,27,Andorra,172.18,178.84,165.53,5.65,5.87,5.43
42,43,Niue,172.11,177.19,167.03,5.64,5.81,5.48
24,25,Ireland,171.77,179.04,164.5,5.64,5.87,5.4
35,36,Luxembourg,171.76,178.46,165.07,5.64,5.86,5.42
29,30,Canada,171.74,178.75,164.73,5.63,5.86,5.4
28,29,Australia,171.72,178.77,164.67,5.64,5.87,5.4
33,34,France,171.54,178.6,164.49,5.63,5.86,5.4
30,31,Switzerland,171.53,178.73,164.33,5.62,5.86,5.39
41,42,Saint Vincent and the Grenadines,171.4,177.49,165.3,5.62,5.82,5.42
44,45,Barbados,171.34,177.03,165.66,5.62,5.81,5.44
25,26,Lebanon,171.32,178.96,163.67,5.62,5.87,5.37
39,40,Romania,171.27,177.82,164.73,5.62,5.83,5.4
21,22,Puerto Rico,171.27,179.48,163.06,5.62,5.89,5.35
23,24,Belgium,171.24,179.09,163.4,5.62,5.88,5.36
40,41,New Zealand,171.19,177.72,164.66,5.62,5.83,5.4
38,39,United Kingdom,171.08,178.21,163.94,5.62,5.85,5.38
57,58,Tokelau,171.07,176.06,166.08,5.62,5.78,5.45
50,51,Saint Lucia,170.98,176.43,165.52,5.61,5.79,5.43
45,46,Jamaica,170.64,176.97,164.32,5.6,5.81,5.39
68,69,Tonga,170.6,175.11,166.08,5.6,5.75,5.45
48,49,Russia,170.58,176.65,164.52,5.6,5.8,5.4
46,47,United States,170.12,176.94,163.31,5.58,5.81,5.36
55,56,Senegal,170.05,176.18,163.92,5.58,5.78,5.38
58,59,Trinidad and Tobago,169.7,176.03,163.38,5.57,5.78,5.36
60,61,Georgia,169.61,175.98,163.24,5.56,5.77,5.36
49,50,Hungary,169.57,176.59,162.55,5.56,5.79,5.33
63,64,China,169.56,175.66,163.46,5.56,5.76,5.36
52,53,Libya,169.48,176.39,162.56,5.56,5.79,5.33
66,67,South Korea,169.38,175.52,163.23,5.56,5.76,5.36
87,88,Bulgaria,169.38,174.17,164.58,5.56,5.71,5.4
65,66,Moldova,169.28,175.59,162.96,5.56,5.76,5.35
47,48,Tunisia,169.27,176.85,161.69,5.55,5.8,5.3
61,62,Seychelles,169.18,175.9,162.47,5.55,5.77,5.33
92,93,Fiji,169.13,173.98,164.28,5.55,5.71,5.39
81,82,Samoa,169.12,174.42,163.82,5.54,5.72,5.37
59,60,Israel,169.1,175.98,162.22,5.54,5.77,5.32
53,54,Turkey,169.08,176.36,161.8,5.55,5.79,5.31
62,63,Brazil,169.07,175.73,162.41,5.55,5.77,5.33
56,57,Spain,169.07,176.11,162.03,5.55,5.78,5.32
82,83,Bahamas,168.93,174.4,163.46,5.54,5.72,5.36
54,55,Morocco,168.76,176.35,161.18,5.54,5.79,5.29
70,71,Algeria,168.7,175.04,162.35,5.54,5.74,5.33
83,84,Malta,168.66,174.38,162.95,5.54,5.72,5.35
51,52,North Macedonia,168.66,176.43,160.88,5.54,5.79,5.28
67,68,Kazakhstan,168.62,175.5,161.74,5.54,5.76,5.31
84,85,Turkmenistan,168.6,174.37,162.83,5.53,5.72,5.34
71,72,Mali,168.5,175.02,161.99,5.52,5.74,5.31
64,65,Iran,168.4,175.62,161.18,5.52,5.76,5.29
79,80,Suriname,168.38,174.51,162.26,5.52,5.73,5.32
